prod_year,prod_year_delta,prod_year_delta_sq,prod_year_delta_cu,cylinders,airbags,levy,manufacturer_class,manufacturer_mean_le,category_mean_le,leather_interior,fuel_type_mean_le,turbo,engine_volume,mileage,mileage_new,gear_box_type_mean_le,wheel_mean_le
2007,13,169.0,2197.0,4,4,781.0,2,53,3,0,2,0,1.5,200000.0,0,0,0
2008,12,144.0,1728.0,6,12,1850.0,2,33,1,1,4,0,3.5,77300.0,0,2,0
2007,13,169.0,2197.0,6,7,781.0,1,36,4,1,4,0,2.4,1600.0,0,0,1
2006,14,196.0,2744.0,4,9,781.0,1,38,3,0,4,0,1.3,0.0,1,0,1
2016,4,16.0,64.0,4,6,1091.0,2,53,9,1,4,0,2.5,72678.0,0,2,0
2013,7,49.0,343.0,4,8,585.0,2,22,9,0,4,0,1.8,184874.0,0,0,0
2013,7,49.0,343.0,4,8,781.0,2,53,9,1,4,0,2.5,152000.0,0,2,0
2014,6,36.0,216.0,4,6,749.0,2,22,4,1,4,0,2.4,70000.0,0,2,0
2007,13,169.0,2197.0,6,4,781.0,3,28,4,1,1,1,2.7,200000.0,0,2,0
2006,14,196.0,2744.0,5,2,781.0,2,33,6,1,1,1,2.7,37440.0,0,2,0
2013,7,49.0,343.0,4,16,530.0,2,35,4,1,4,1,1.6,140000.0,0,0,0
2003,17,289.0,4913.0,4,2,781.0,1,38,10,0,3,0,1.5,235339.0,0,0,1
2005,15,225.0,3375.0,4,6,781.0,1,39,3,0,1,1,1.7,179000.0,0,1,0
2013,7,49.0,343.0,4,0,781.0,2,53,9,0,2,0,1.8,169000.0,0,0,0
2003,17,289.0,4913.0,4,4,781.0,1,32,3,0,0,0,1.4,185000.0,0,1,0
2016,4,16.0,64.0,6,12,690.0,1,29,4,1,2,0,3.5,59858.0,0,0,0
2012,8,64.0,512.0,4,0,753.0,2,22,4,1,4,0,2.4,221126.0,0,0,0
1996,24,576.0,13824.0,6,16,781.0,2,16,3,0,4,0,1.8,11111.0,0,1,0
2006,14,196.0,2744.0,6,6,781.0,2,53,9,0,4,0,2.5,106000.0,0,2,1
2015,5,25.0,125.0,4,4,765.0,2,8,4,1,3,0,2.0,109497.0,0,0,0
2013,7,49.0,343.0,4,4,640.0,2,22,4,1,1,0,2.0,144950.0,0,0,0
2016,4,16.0,64.0,4,4,891.0,2,22,9,1,3,0,2.0,276546.0,0,0,0
2014,6,36.0,216.0,4,12,749.0,2,22,9,1,4,1,2.4,75200.0,0,0,0
2005,15,225.0,3375.0,6,6,781.0,1,50,2,0,4,1,2.0,180000.0,0,2,1
2000,20,400.0,8000.0,4,6,781.0,2,33,9,1,4,0,1.8,65865.0,0,1,0
2011,9,81.0,729.0,6,10,781.0,3,42,4,1,4,0,3.5,171000.0,0,2,0
2006,14,196.0,2744.0,4,2,781.0,1,20,9,0,4,0,1.3,280900.0,0,2,1
2012,8,64.0,512.0,6,12,1058.0,2,53,9,1,4,0,3.5,132165.0,0,0,0
2011,9,81.0,729.0,4,12,831.0,2,8,9,1,4,0,2.4,489821.0,0,0,0
2017,3,9.0,27.0,6,8,924.0,2,56,9,1,4,0,1.8,27728.0,0,2,0
2006,14,196.0,2744.0,4,6,1202.0,1,39,7,0,0,0,1.6,170000.0,0,1,0
2011,9,81.0,729.0,4,4,707.0,2,22,4,1,1,0,2.0,177194.0,0,0,0
2015,5,25.0,125.0,6,12,1273.0,2,53,7,1,4,0,3.5,93000.0,0,2,0
2015,5,25.0,125.0,8,0,1646.0,1,29,4,1,4,0,4.6,273493.0,0,0,0
2013,7,49.0,343.0,4,0,781.0,2,53,9,0,2,0,1.5,130000.0,0,0,1
2011,9,81.0,729.0,6,12,1172.0,2,33,9,1,1,0,3.5,119379.0,0,0,0
2005,15,225.0,3375.0,8,10,781.0,1,29,4,1,3,0,4.7,336000.0,0,0,0
2018,2,4.0,8.0,4,4,1079.0,2,22,9,1,4,0,2.0,50310.0,0,0,0
2012,8,64.0,512.0,4,4,781.0,1,20,9,1,2,0,1.5,202000.0,0,3,0
2011,9,81.0,729.0,6,0,1018.0,2,5,4,1,1,0,3.0,332243.0,0,0,0
2014,6,36.0,216.0,6,0,915.0,2,5,4,1,1,0,3.0,0.0,1,0,0
2011,9,81.0,729.0,6,12,1018.0,2,33,9,1,1,0,3.0,273186.0,0,0,0
2014,6,36.0,216.0,6,12,1053.0,2,33,9,1,1,0,3.5,95987.0,0,0,0
2007,13,169.0,2197.0,4,6,781.0,2,53,3,0,2,0,1.5,144000.0,0,3,1
2014,6,36.0,216.0,4,8,777.0,2,53,9,1,4,0,2.5,74000.0,0,0,0
2012,8,64.0,512.0,4,10,586.0,2,22,9,0,4,0,1.8,204000.0,0,2,0
2015,5,25.0,125.0,6,12,603.0,1,29,4,1,2,0,3.5,143619.0,0,0,0
2011,9,81.0,729.0,4,4,583.0,2,22,9,1,4,0,1.6,125062.0,0,0,0
2016,4,16.0,64.0,4,4,891.0,2,22,4,1,1,0,2.0,123206.0,0,0,0
2015,5,25.0,125.0,4,12,441.0,2,27,9,1,2,0,2.4,107618.0,0,0,0
2007,13,169.0,2197.0,4,4,1282.0,2,8,4,1,1,0,2.0,62336.0,0,0,0
2009,11,121.0,1331.0,4,12,1185.0,2,16,4,0,2,0,2.5,143000.0,0,0,0
2010,10,100.0,1000.0,6,0,1211.0,2,5,4,1,1,0,3.0,265210.0,0,0,0
2013,7,49.0,343.0,4,4,640.0,3,49,4,1,1,0,2.0,111307.0,0,0,0
2007,13,169.0,2197.0,4,4,781.0,1,20,3,0,4,0,1.3,124000.0,0,0,1
2012,8,64.0,512.0,4,4,503.0,2,53,3,1,4,0,1.5,103000.0,0,0,0
2012,8,64.0,512.0,4,12,586.0,2,53,3,1,2,0,1.8,373634.0,0,0,0
2018,2,4.0,8.0,4,4,1178.0,2,22,4,1,1,0,2.2,5964.0,0,0,0
2015,5,25.0,125.0,4,4,900.0,1,13,9,1,4,0,2.4,48000.0,0,0,0
2008,12,144.0,1728.0,6,12,1850.0,1,29,4,1,2,0,3.5,364523.0,0,0,0
2013,7,49.0,343.0,4,2,781.0,2,53,9,0,2,0,1.5,140000.0,0,0,1
2006,14,196.0,2744.0,4,6,781.0,2,53,3,1,2,0,1.5,320000.0,0,2,0
2007,13,169.0,2197.0,4,6,781.0,1,20,3,0,4,0,1.3,129000.0,0,0,1
2013,7,49.0,343.0,4,12,779.0,2,53,9,0,2,0,2.5,75000.0,0,0,0
2009,11,121.0,1331.0,4,12,746.0,2,53,9,1,2,0,1.5,142426.0,0,0,0
2015,5,25.0,125.0,4,4,765.0,3,49,10,1,1,0,2.0,43740.0,0,0,0
2011,9,81.0,729.0,6,12,1172.0,2,33,9,1,1,0,3.5,64496.0,0,0,0
2013,7,49.0,343.0,4,12,781.0,2,53,9,1,4,0,2.5,116800.0,0,2,0
2012,8,64.0,512.0,4,4,586.0,2,8,9,1,4,0,1.8,163063.0,0,0,0
2009,11,121.0,1331.0,4,4,966.0,2,22,1,1,4,0,2.0,177000.0,0,0,0
2015,5,25.0,125.0,4,12,353.0,2,53,3,1,2,0,1.8,67074.0,0,0,0
2016,4,16.0,64.0,4,12,1091.0,2,53,9,1,4,0,2.5,151443.0,0,0,0
2000,20,400.0,8000.0,4,6,781.0,2,53,1,1,4,0,1.8,204000.0,0,1,1
2005,15,225.0,3375.0,4,4,781.0,2,33,7,0,1,1,2.2,0.0,1,1,0
2009,11,121.0,1331.0,6,12,1624.0,2,33,9,1,1,0,3.5,109139.0,0,0,0
2014,6,36.0,216.0,4,4,528.0,2,22,9,1,1,0,1.6,49248.0,0,0,0
2013,7,49.0,343.0,4,4,640.0,3,49,4,1,1,0,2.0,95430.0,0,0,0
2010,10,100.0,1000.0,8,0,1811.0,1,29,4,1,4,0,4.6,155821.0,0,0,0
2017,3,9.0,27.0,4,12,1017.0,2,33,9,1,4,0,2.0,1600.0,0,0,0
2014,6,36.0,216.0,4,12,639.0,1,50,4,1,4,0,2.0,64923.0,0,0,0
2013,7,49.0,343.0,6,12,781.0,2,33,9,1,4,1,1.8,125000.0,0,2,0
2012,8,64.0,512.0,4,4,642.0,2,22,9,1,4,0,2.0,118643.0,0,0,0
2012,8,64.0,512.0,6,12,919.0,2,8,4,1,4,0,3.0,343283.0,0,0,0
2011,9,81.0,729.0,4,1,781.0,2,53,9,0,2,0,1.8,196000.0,0,0,0
2001,19,361.0,6859.0,6,6,781.0,2,56,9,1,0,0,2.8,350000.0,0,1,0
2015,5,25.0,125.0,4,4,765.0,3,49,4,1,1,0,2.0,49253.0,0,0,0
2013,7,49.0,343.0,4,12,751.0,2,22,9,1,4,0,2.4,175790.0,0,0,0
2011,9,81.0,729.0,4,12,645.0,2,53,4,1,2,0,1.8,415150.0,0,0,0
2017,3,9.0,27.0,4,0,382.0,2,8,3,1,2,0,1.5,81440.0,0,0,0
1998,22,484.0,10648.0,4,2,781.0,2,33,10,0,4,0,2.0,200000.0,0,1,0
2019,1,1.0,1.0,4,2,1974.0,1,20,3,0,4,0,1.3,6000.0,0,0,1
2016,4,16.0,64.0,4,4,891.0,2,22,4,1,1,0,2.0,153000.0,0,0,0
2000,20,400.0,8000.0,4,4,781.0,2,33,9,1,1,1,1.7,187000.0,0,1,0
2018,2,4.0,8.0,4,12,609.0,2,53,9,1,2,0,2.5,272781.0,0,0,0
2011,9,81.0,729.0,4,4,707.0,3,49,4,1,1,0,2.0,199569.0,0,0,0
2010,10,100.0,1000.0,4,0,574.0,1,20,3,1,2,0,1.3,189571.0,0,0,0
2004,16,256.0,4096.0,4,5,781.0,1,50,4,1,0,0,2.5,220000.0,0,0,0
1998,22,484.0,10648.0,4,4,781.0,2,33,9,1,0,0,2.3,200000.0,0,0,0
2014,6,36.0,216.0,4,12,394.0,2,53,9,1,2,0,2.5,398069.0,0,0,0
2019,1,1.0,1.0,4,12,978.0,2,53,9,1,4,0,1.8,6032.0,0,0,0
2006,14,196.0,2744.0,6,12,781.0,2,5,9,1,4,0,3.0,280000.0,0,2,0
2014,6,36.0,216.0,4,4,501.0,2,53,3,1,4,0,1.5,122727.0,0,0,0
2011,9,81.0,729.0,4,4,583.0,2,22,9,1,4,0,1.6,124892.0,0,0,0
2012,8,64.0,512.0,4,4,531.0,2,22,9,1,4,0,1.6,187500.0,0,0,0
2018,2,4.0,8.0,4,4,1079.0,2,22,9,1,4,0,2.0,35168.0,0,0,0
2014,6,36.0,216.0,4,4,639.0,2,22,4,1,1,0,2.0,152064.0,0,0,0
2013,7,49.0,343.0,4,0,640.0,2,16,9,1,2,0,2.0,174619.0,0,0,0
2014,6,36.0,216.0,6,12,1053.0,1,38,4,1,4,0,3.5,178656.0,0,0,0
2017,3,9.0,27.0,4,12,1017.0,2,33,9,1,4,0,2.0,26802.0,0,0,0
2014,6,36.0,216.0,4,4,639.0,2,22,9,1,3,0,2.0,564538.0,0,0,0
2015,5,25.0,125.0,4,12,934.0,2,53,9,1,4,0,2.5,173101.0,0,0,0
2014,6,36.0,216.0,4,4,528.0,2,22,9,1,1,0,1.6,142495.0,0,0,0
2008,12,144.0,1728.0,4,6,781.0,2,53,9,0,2,0,1.5,156000.0,0,0,0
2005,15,225.0,3375.0,4,2,781.0,1,32,3,1,4,0,1.5,176000.0,0,0,1
2014,6,36.0,216.0,4,12,777.0,2,16,9,1,4,0,2.5,83213.0,0,0,0
2010,10,100.0,1000.0,4,4,836.0,2,22,9,1,3,0,2.0,116346.0,0,0,0
2004,16,256.0,4096.0,6,6,781.0,1,38,1,0,4,0,3.5,174000.0,0,2,1
2016,4,16.0,64.0,4,4,1091.0,2,22,10,1,1,0,2.5,102338.0,0,0,0
2010,10,100.0,1000.0,4,12,781.0,2,56,9,1,4,1,2.0,174000.0,0,2,0
2014,6,36.0,216.0,4,8,1816.0,1,32,9,1,1,1,2.2,136000.0,0,0,1
2012,8,64.0,512.0,4,0,475.0,2,8,4,1,2,0,1.4,188419.0,0,0,0
2015,5,25.0,125.0,4,2,629.0,2,56,9,0,4,0,1.6,270000.0,0,1,0
2014,6,36.0,216.0,4,4,528.0,2,16,4,1,4,0,1.6,70165.0,0,0,0
2015,5,25.0,125.0,4,4,765.0,2,8,4,1,3,0,2.0,33333.0,0,0,0
2009,11,121.0,1331.0,8,12,781.0,2,56,9,1,4,0,2.5,130000.0,0,2,0
2014,6,36.0,216.0,4,8,639.0,2,16,9,1,4,0,2.0,134400.0,0,2,0
2013,7,49.0,343.0,4,12,502.0,2,53,3,0,2,0,1.5,11000.0,0,3,0
2017,3,9.0,27.0,4,4,1017.0,2,22,9,1,4,0,2.0,54930.0,0,0,0
2017,3,9.0,27.0,4,12,781.0,2,53,9,1,2,0,2.5,36800.0,0,2,0
2011,9,81.0,729.0,4,12,645.0,2,53,3,1,2,0,1.8,560157.0,0,0,0
2015,5,25.0,125.0,4,6,697.0,1,20,1,0,4,0,1.8,58190.0,0,0,0
2011,9,81.0,729.0,4,4,583.0,2,22,9,1,4,0,1.6,124892.0,0,0,0
2016,4,16.0,64.0,4,4,1091.0,2,22,7,1,1,0,2.5,90132.0,0,0,0
2011,9,81.0,729.0,4,4,707.0,3,49,4,1,1,0,2.0,117700.0,0,0,0
2014,6,36.0,216.0,4,4,777.0,2,22,7,1,1,0,2.5,170971.0,0,0,0
2014,6,36.0,216.0,6,12,1108.0,1,38,1,1,4,0,3.7,80698.0,0,0,0
2015,5,25.0,125.0,4,12,562.0,2,8,9,1,4,0,1.4,68235.0,0,0,0
2012,8,64.0,512.0,4,4,781.0,2,22,7,1,1,0,2.5,59304.0,0,0,0
2009,11,121.0,1331.0,4,4,790.0,2,8,9,1,4,0,1.6,138681.0,0,0,0
2015,5,25.0,125.0,6,12,1104.0,1,3,9,1,1,0,3.0,131674.0,0,0,0
2006,14,196.0,2744.0,6,8,781.0,2,33,4,1,4,0,3.5,176000.0,0,0,0
2012,8,64.0,512.0,8,0,1363.0,1,29,4,1,4,0,4.6,255406.0,0,0,0
2000,20,400.0,8000.0,6,8,781.0,2,33,4,1,0,0,3.2,11111.0,0,2,0
2015,5,25.0,125.0,4,4,765.0,2,22,9,1,3,0,2.0,311337.0,0,0,0
2008,12,144.0,1728.0,6,2,781.0,2,33,6,0,1,1,3.0,1000.0,0,1,0
2016,4,16.0,64.0,4,4,518.0,1,29,4,1,2,0,2.5,40450.0,0,0,0
2010,10,100.0,1000.0,4,4,687.0,2,22,9,1,4,0,1.6,100403.0,0,0,0
2012,8,64.0,512.0,4,0,781.0,2,16,4,1,2,0,2.5,95349.0,0,0,0
2012,8,64.0,512.0,4,4,642.0,2,22,1,1,4,0,2.0,77231.0,0,0,0
2012,8,64.0,512.0,4,4,503.0,2,53,3,1,4,0,1.5,81400.0,0,0,0
1990,30,900.0,27000.0,4,0,781.0,1,55,9,0,4,0,0.3,18101.0,0,1,0
2016,4,16.0,64.0,4,12,167.0,2,56,9,1,4,0,0.2,73722.0,0,0,0
1999,21,441.0,9261.0,4,2,781.0,2,16,6,0,1,0,2.5,270000.0,0,1,1
2018,2,4.0,8.0,4,4,1079.0,1,20,9,1,4,0,2.0,17741.0,0,0,0
2011,9,81.0,729.0,4,0,490.0,1,20,3,1,2,0,1.3,198891.0,0,0,0
2014,6,36.0,216.0,4,4,271.0,2,53,3,1,2,0,1.5,69650.0,0,0,0
2014,6,36.0,216.0,4,12,749.0,2,22,9,1,4,0,2.4,166008.0,0,0,0
2014,6,36.0,216.0,4,2,556.0,1,55,4,0,4,0,1.7,35000.0,0,1,0
2010,10,100.0,1000.0,4,6,1024.0,2,56,9,1,4,0,2.5,110000.0,0,2,0
2018,2,4.0,8.0,4,12,1079.0,2,25,4,1,4,0,2.0,10782.0,0,0,0
2019,1,1.0,1.0,4,8,830.0,1,20,3,0,4,0,1.5,1532.0,0,0,0
2012,8,64.0,512.0,6,6,781.0,2,8,9,0,4,0,3.6,180000.0,0,0,0
2012,8,64.0,512.0,4,6,919.0,2,16,4,1,4,0,3.0,135000.0,0,0,0
2013,7,49.0,343.0,6,12,1055.0,2,33,9,1,1,0,3.5,107800.0,0,0,0
2011,9,81.0,729.0,4,8,707.0,1,32,9,0,4,0,2.0,142161.0,0,2,0
2013,7,49.0,343.0,4,12,781.0,2,30,9,1,2,0,2.0,82817.0,0,3,0
2011,9,81.0,729.0,6,12,1327.0,1,38,4,1,4,0,4.0,215003.0,0,0,0
2013,7,49.0,343.0,4,4,781.0,2,16,2,0,1,1,2.2,147000.0,0,1,0
2011,9,81.0,729.0,6,12,1172.0,1,29,4,1,2,0,3.5,101816.0,0,0,0
2015,5,25.0,125.0,4,4,765.0,2,22,9,1,3,0,2.0,539937.0,0,0,0
2010,10,100.0,1000.0,4,0,761.0,2,53,3,1,2,0,1.8,236539.0,0,0,0
2018,2,4.0,8.0,4,12,1277.0,2,27,9,1,4,0,2.4,52710.0,0,0,0
2008,12,144.0,1728.0,4,8,944.0,1,39,10,0,1,0,1.7,238075.0,0,1,0
2012,8,64.0,512.0,4,4,531.0,2,22,9,1,4,0,1.6,75300.0,0,0,0
2006,14,196.0,2744.0,4,2,781.0,2,33,7,0,1,1,2.2,188000.0,0,1,1
2010,10,100.0,1000.0,6,12,1399.0,1,29,4,1,2,0,3.5,311949.0,0,0,0
2009,11,121.0,1331.0,4,12,878.0,1,20,9,1,4,0,1.8,75000.0,0,0,0
2015,5,25.0,125.0,4,4,765.0,2,22,9,1,3,0,2.0,283593.0,0,0,0
2011,9,81.0,729.0,4,8,521.0,2,8,3,1,5,0,1.4,105989.0,0,0,0
2010,10,100.0,1000.0,6,10,781.0,1,20,4,1,4,0,3.5,17000.0,0,0,0
2012,8,64.0,512.0,4,5,503.0,1,20,9,0,4,0,1.5,126400.0,0,0,0
2016,4,16.0,64.0,4,4,891.0,2,22,9,1,3,0,2.0,240573.0,0,0,0
2005,15,225.0,3375.0,8,12,781.0,2,5,9,1,4,0,4.8,240000.0,0,2,0
2019,1,1.0,1.0,4,12,1077.0,2,53,4,1,4,0,2.0,4330.0,0,0,0
2014,6,36.0,216.0,4,0,639.0,1,50,9,1,4,0,2.0,142211.0,0,0,0
2011,9,81.0,729.0,4,4,707.0,2,22,4,1,1,0,2.0,161345.0,0,0,0
2014,6,36.0,216.0,4,4,528.0,2,27,9,0,4,0,1.6,76800.0,0,0,0
2011,9,81.0,729.0,4,12,645.0,1,29,9,1,2,0,1.8,143000.0,0,0,0
2015,5,25.0,125.0,4,4,765.0,2,22,4,1,1,0,2.0,83535.0,0,0,0
2012,8,64.0,512.0,4,10,781.0,2,53,9,1,2,0,1.6,120000.0,0,3,0
2017,3,9.0,27.0,4,12,382.0,2,8,3,1,2,0,1.5,102379.0,0,0,0
2013,7,49.0,343.0,4,10,530.0,2,16,9,0,4,0,1.6,152000.0,0,2,0
2008,12,144.0,1728.0,4,8,843.0,2,53,3,0,2,0,1.5,190000.0,0,0,0
2010,10,100.0,1000.0,6,4,781.0,2,53,3,0,4,0,1.3,146351.0,0,0,0
2014,6,36.0,216.0,4,0,639.0,1,3,9,1,4,0,2.0,123640.0,0,0,0
2018,2,4.0,8.0,4,4,880.0,2,22,9,1,3,0,1.6,47181.0,0,0,0
2011,9,81.0,729.0,4,8,781.0,2,16,3,0,4,0,1.3,139200.0,0,1,0
2002,18,324.0,5832.0,4,5,781.0,1,38,4,0,4,0,2.0,255000.0,0,0,1
2016,4,16.0,64.0,8,0,1935.0,1,29,4,1,4,0,4.6,155976.0,0,0,0
2004,16,256.0,4096.0,4,4,781.0,1,20,3,0,4,0,1.3,150000.0,0,0,1
2010,10,100.0,1000.0,4,10,781.0,2,53,3,1,3,0,1.8,280000.0,0,3,0
2013,7,49.0,343.0,4,8,447.0,1,20,9,1,2,0,1.3,44000.0,0,2,0
2011,9,81.0,729.0,4,4,583.0,2,22,9,1,4,0,1.6,132749.0,0,0,0
2007,13,169.0,2197.0,6,6,781.0,2,5,4,1,1,1,3.0,221500.0,0,2,0
1999,21,441.0,9261.0,4,4,781.0,2,33,9,0,4,0,1.8,222000.0,0,1,0
2001,19,361.0,6859.0,6,8,781.0,2,33,9,1,4,0,3.2,218000.0,0,2,0
2003,17,289.0,4913.0,4,2,781.0,2,53,10,0,4,0,1.5,181926.0,0,0,1
2012,8,64.0,512.0,8,12,1363.0,2,33,4,1,1,0,4.6,180659.0,0,0,0
2016,4,16.0,64.0,4,10,690.0,2,16,4,1,4,1,1.5,108295.0,0,0,0
2007,13,169.0,2197.0,4,0,781.0,1,38,9,0,3,0,1.5,138000.0,0,0,1
2015,5,25.0,125.0,4,4,629.0,2,22,3,1,1,0,1.6,36871.0,0,0,0
2019,1,1.0,1.0,4,12,1325.0,2,53,9,1,4,0,2.5,45880.0,0,0,0
2002,18,324.0,5832.0,4,2,781.0,2,53,3,0,4,0,1.0,138000.0,0,0,1
2012,8,64.0,512.0,4,0,531.0,1,38,4,1,4,0,1.6,136712.0,0,0,0
2008,12,144.0,1728.0,4,8,781.0,2,53,7,0,4,0,2.0,200000.0,0,0,1
2018,2,4.0,8.0,4,4,930.0,2,22,4,1,1,0,1.7,18137.0,0,0,0
2011,9,81.0,729.0,8,0,1514.0,1,29,9,1,4,0,4.6,202048.0,0,0,0
2010,10,100.0,1000.0,4,8,761.0,1,38,3,0,4,0,1.8,132540.0,0,0,0
2014,6,36.0,216.0,4,2,1266.0,2,53,9,0,2,0,1.5,102000.0,0,0,1
2009,11,121.0,1331.0,4,8,658.0,1,20,3,0,2,0,1.3,142526.0,0,0,0
2011,9,81.0,729.0,6,12,1172.0,2,33,9,1,1,0,3.5,230696.0,0,0,0
2014,6,36.0,216.0,4,8,781.0,2,5,9,1,1,1,2.0,159000.0,0,2,0
2010,10,100.0,1000.0,4,10,724.0,1,39,7,0,1,1,1.7,176000.0,0,1,0
2010,10,100.0,1000.0,6,12,1399.0,2,33,9,1,4,0,3.5,229904.0,0,0,0
2009,11,121.0,1331.0,6,0,1624.0,2,33,9,1,4,0,3.5,200000.0,0,2,0
2003,17,289.0,4913.0,6,4,781.0,1,50,9,0,4,0,3.0,209000.0,0,2,1
2012,8,64.0,512.0,4,4,642.0,2,22,4,1,1,0,2.0,162957.0,0,0,0
2012,8,64.0,512.0,4,12,753.0,2,22,9,0,4,0,2.4,142000.0,0,2,0
2014,6,36.0,216.0,4,4,639.0,2,22,9,1,3,0,2.0,362454.0,0,0,0
2018,2,4.0,8.0,4,2,1426.0,2,53,4,0,4,0,2.7,177000.0,0,0,0
2019,1,1.0,1.0,3,10,781.0,1,51,4,0,4,1,1.0,4800.0,0,2,0
2017,3,9.0,27.0,4,12,781.0,1,32,9,1,4,0,2.5,71500.0,0,2,0
2013,7,49.0,343.0,4,12,640.0,2,16,4,1,4,0,2.0,69813.0,0,0,0
2017,3,9.0,27.0,4,12,1017.0,2,33,9,1,4,0,2.0,50963.0,0,0,0
2007,13,169.0,2197.0,4,4,1586.0,2,27,4,1,1,0,2.5,72872.0,0,0,0
2010,10,100.0,1000.0,4,12,1024.0,2,53,9,0,4,0,2.5,121000.0,0,2,0
2014,6,36.0,216.0,4,12,333.0,1,50,4,1,2,0,2.0,123472.0,0,0,0
2009,11,121.0,1331.0,6,12,781.0,2,5,4,1,1,1,3.0,10000.0,0,0,0
2003,17,289.0,4913.0,8,12,781.0,2,5,9,1,3,0,4.4,250000.0,0,2,0
2012,8,64.0,512.0,4,4,642.0,2,8,4,1,1,0,2.0,172125.0,0,0,0
2013,7,49.0,343.0,6,12,1055.0,2,16,4,1,4,0,3.5,122128.0,0,0,0
2015,5,25.0,125.0,4,4,308.0,1,20,3,1,2,0,1.5,98937.0,0,0,0
2010,10,100.0,1000.0,4,2,1917.0,2,33,3,0,4,0,1.7,96000.0,0,0,1
2012,8,64.0,512.0,4,12,781.0,2,16,9,1,4,0,2.0,117000.0,0,2,0
2007,13,169.0,2197.0,6,12,1888.0,2,5,4,1,1,1,3.0,19000.0,0,0,0
2013,7,49.0,343.0,4,4,640.0,3,49,4,1,1,0,2.0,92690.0,0,0,0
2008,12,144.0,1728.0,4,0,781.0,2,53,3,0,2,0,1.5,111111.0,0,3,0
2015,5,25.0,125.0,4,12,697.0,1,20,9,1,4,0,1.8,64522.0,0,0,0
2015,5,25.0,125.0,8,0,1646.0,1,29,4,1,4,0,4.6,106918.0,0,0,0
2016,4,16.0,64.0,4,4,891.0,2,22,9,1,3,0,2.0,322292.0,0,0,0
